Rank,University,Location
189,Middlebury College,Middlebury
190,James Madison University,Harrisonburg
191,University of Massachusetts Boston,Boston
192,Ohio University,Athens ...
193,University of Alaska Fairbanks,Fairbanks ...
194,Williams College,Williamstown
195,University of North Carolina at Greensboro,Greensboro
196,Kennesaw State University,Kennesaw ...
197,Southern Illinois University Carbondale,Carbondale ...
198,Appalachian State University,Boone
199,Worcester Polytechnic Institute,Worcester
200,Western Washington University,Bellingham
201,"California State University, Chico",Chico
202,Berklee College of Music,Boston ...
203,East Carolina University,Greenville
204,Smith College,Northampton
205,Howard University,Washington
206,Villanova University,Villanova
207,University of Dayton,Dayton
208,Grand Valley State University,Allendale ...
209,Boise State University,Boise
210,The University of Memphis,Memphis ...
211,New Jersey Institute of Technology,Newark
212,University of North Dakota,Grand Forks
213,Wesleyan University,Middletown
214,Carleton College,Northfield
215,Pace University,New York City ...
216,The University of Texas at El Paso,El Paso
217,University of San Diego,San Diego
218,Bryn Mawr College,Bryn Mawr
219,University of San Francisco,San Francisco
220,University of Colorado Denver,Denver
221,North Dakota State University,Fargo
222,Ball State University,Muncie
223,Pepperdine University,Malibu ...
224,The Catholic University of America,Washington
225,College of Charleston,Charleston
226,University of Massachusetts Lowell,Lowell
227,University of Toledo,Toledo
228,Western Kentucky University,Bowling Green
229,"California State University, Sacramento",Sacramento
230,Bard College,Annandale-on-Hudson
231,Montclair State University,Montclair
232,Miami University,Oxford ...
233,University of Texas Southwestern Medical Center,Dallas
234,Vassar College,Poughkeepsie
235,Thomas Jefferson University,Philadelphia
236,"California State Polytechnic University, Pomona",Pomona
237,Chapman University,Orange
238,University of Akron,Akron ...
239,Hofstra University,Hempstead
240,University of Southern Mississippi,Hattiesburg
241,Medical University of South Carolina,Charleston
242,Clark University,Worcester
243,Bucknell University,Lewisburg
244,Amherst College,Amherst
245,Embry-Riddle Aeronautical University,Daytona Beach ...
246,Calvin University,Grand Rapids
247,Creighton University,Omaha
248,Seton Hall University,South Orange
249,Illinois State University,Normal
250,UMass Chan Medical School,Worcester
251,Wellesley College,Wellesley
252,Loyola Marymount University,Los Angeles
253,Mount Holyoke College,South Hadley
254,Missouri State University,Springfield ...
255,University of Nebraska at Omaha,Omaha
256,University of Northern Iowa,Cedar Falls
257,Idaho State University,Pocatello ...
258,Oberlin College,Oberlin
259,Yeshiva University,New York City
260,Wright State University,Dayton ...
261,The University of Texas Health Science Center at San Antonio,San Antonio
262,Colby College,Waterville
263,Monmouth University,West Long Branch
264,"California State University, San Bernardino",San Bernardino ...
265,Central Michigan University,Mount Pleasant
266,University of North Florida,Jacksonville
267,Texas Christian University,Fort Worth
268,Cleveland State University,Cleveland
